Format Version,1.23,Take Name,Take 2024-06-23 04.06.32 PM,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2024-06-23 04.06.33.427 PM,Capture Start Frame,35234,Total Frames in Take,2001,Total Exported Frames,2001,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,,,,,,,,,,,,,,,,,,,
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,,,,,,,,,,,,,,,,,,,
,ID,574930B2D6312E11EF,574930B2D6312E11EF,574930B2D6312E11EF,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,,,,,,
161,1.61,-0.372003,0.096191,-0.014612,,,,,,,,,,,,,,,,,,,
162,1.62,-0.392027,0.093889,-0.015912,,,,,,,,,,,,,,,,,,,
163,1.63,-0.412748,0.091163,-0.017333,,,,,,,,,,,,,,,,,,,
164,1.64,-0.433844,0.088076,-0.019116,,,,,,,,,,,,,,,,,,,
165,1.65,-0.455194,0.084724,-0.02055,,,,,,,,,,,,,,,,,,,
166,1.66,-0.476874,0.081438,-0.021604,,,,,,,,,,,,,,,,,,,
167,1.67,-0.499165,0.077307,-0.023577,,,,,,,,,,,,,,,,,,,
168,1.68,-0.521688,0.072918,-0.024946,,,,,,,,,,,,,,,,,,,
169,1.69,-0.544742,0.068297,-0.026733,,,,,,,,,,,,,,,,,,,
170,1.7,-0.567669,0.063636,-0.028389,,,,,,,,,,,,,,,,,,,
171,1.71,-0.591058,0.058778,-0.029706,,,,,,,,,,,,,,,,,,,
172,1.72,-0.61452,0.053956,-0.031027,,,,,,,,,,,,,,,,,,,
173,1.73,-0.638296,0.049577,-0.032007,,,,,,,,,,,,,,,,,,,
174,1.74,-0.661966,0.04556,-0.033805,,,,,,,,,,,,,,,,,,,
175,1.75,-0.685821,0.040995,-0.035734,,,,,,,,,,,,,,,,,,,
176,1.76,-0.709975,0.036397,-0.037232,,,,,,,,,,,,,,,,,,,
177,1.77,-0.739125,0.037405,-0.032468,,,,,,,,,,,,,,,,,,,
178,1.78,-0.763484,0.034589,-0.034503,,,,,,,,,,,,,,,,,,,
179,1.79,-0.787381,0.032249,-0.03632,,,,,,,,,,,,,,,,,,,
180,1.8,-0.811235,0.030437,-0.038257,,,,,,,,,,,,,,,,,,,
181,1.81,-0.834739,0.029328,-0.040234,,,,,,,,,,,,,,,,,,,
182,1.82,-0.857523,0.028701,-0.042075,,,,,,,,,,,,,,,,,,,
183,1.83,-0.879873,0.028734,-0.044078,,,,,,,,,,,,,,,,,,,
184,1.84,-0.901408,0.029533,-0.046463,,,,,,,,,,,,,,,,,,,
185,1.85,-0.922242,0.031039,-0.048357,,,,,,,,,,,,,,,,,,,
186,1.86,-0.942653,0.033024,-0.050748,,,,,,,,,,,,,,,,,,,
187,1.87,-0.962067,0.035107,-0.053055,,,,,,,,,,,,,,,,,,,
188,1.88,-0.980648,0.037355,-0.055441,,,,,,,,,,,,,,,,,,,
189,1.89,-0.9985,0.039826,-0.05794,,,,,,,,,,,,,,,,,,,
190,1.9,-1.015384,0.042224,-0.060387,,,,,,,,,,,,,,,,,,,
191,1.91,-1.031278,0.044288,-0.062408,,,,,,,,,,,,,,,,,,,
192,1.92,-1.046174,0.046214,-0.064478,,,,,,,,,,,,,,,,,,,
193,1.93,-1.05965,0.047909,-0.066009,,,,,,,,,,,,,,,,,,,
194,1.94,-1.071535,0.049143,-0.067286,,,,,,,,,,,,,,,,,,,
195,1.95,-1.081742,0.049888,-0.068451,,,,,,,,,,,,,,,,,,,
196,1.96,-1.090632,0.050038,-0.0695,,,,,,,,,,,,,,,,,,,
197,1.97,-1.09823,0.049606,-0.070619,,,,,,,,,,,,,,,,,,,
198,1.98,-1.104617,0.048327,-0.071674,,,,,,,,,,,,,,,,,,,
199,1.99,-1.109952,0.046124,-0.0725,,,,,,,,,,,,,,,,,,,
200,2,-1.11444,0.043443,-0.073312,,,,,,,,,,,,,,,,,,,
201,2.01,-1.117795,0.039862,-0.073728,,,,,,,,,,,,,,,,,,,
202,2.02,-1.12048,0.035964,-0.074261,,,,,,,,,,,,,,,,,,,
203,2.03,-1.122789,0.032426,-0.07523,,,,,,,,,,,,,,,,,,,
204,2.04,-1.12583,0.029008,-0.076381,,,,,,,,,,,,,,,,,,,
205,2.05,-1.129607,0.026081,-0.078272,,,,,,,,,,,,,,,,,,,
206,2.06,-1.133623,0.023847,-0.080792,,,,,,,,,,,,,,,,,,,
207,2.07,-1.137569,0.021834,-0.083013,,,,,,,,,,,,,,,,,,,
208,2.08,-1.141404,0.019415,-0.085001,,,,,,,,,,,,,,,,,,,
209,2.09,-1.145422,0.016492,-0.08673,,,,,,,,,,,,,,,,,,,
210,2.1,-1.149016,0.013735,-0.087932,,,,,,,,,,,,,,,,,,,
211,2.11,-1.152345,0.011307,-0.088659,,,,,,,,,,,,,,,,,,,
212,2.12,-1.155485,0.008996,-0.088886,,,,,,,,,,,,,,,,,,,
213,2.13,-1.15823,0.00697,-0.088664,,,,,,,,,,,,,,,,,,,
214,2.14,-1.160261,0.005267,-0.088349,,,,,,,,,,,,,,,,,,,
215,2.15,-1.162148,0.004022,-0.088469,,,,,,,,,,,,,,,,,,,
216,2.16,-1.16362,0.002974,-0.088814,,,,,,,,,,,,,,,,,,,
217,2.17,-1.164669,0.002092,-0.089114,,,,,,,,,,,,,,,,,,,
218,2.18,-1.165352,0.001469,-0.08921,,,,,,,,,,,,,,,,,,,
219,2.19,-1.165752,0.00109,-0.089196,,,,,,,,,,,,,,,,,,,
220,2.2,-1.166076,0.000757,-0.089174,,,,,,,,,,,,,,,,,,,
221,2.21,-1.166447,0.000593,-0.089197,,,,,,,,,,,,,,,,,,,
222,2.22,-1.166714,0.000365,-0.089174,,,,,,,,,,,,,,,,,,,
223,2.23,-1.167011,0.000202,-0.089213,,,,,,,,,,,,,,,,,,,
224,2.24,-1.16731,2.3E-05,-0.089237,,,,,,,,,,,,,,,,,,,
225,2.25,-1.167652,-0.00016,-0.089285,,,,,,,,,,,,,,,,,,,
226,2.26,-1.168016,-0.000368,-0.089296,,,,,,,,,,,,,,,,,,,
227,2.27,-1.168058,-0.000627,-0.089368,,,,,,,,,,,,,,,,,,,
228,2.28,-1.167935,-0.000661,-0.08935,,,,,,,,,,,,,,,,,,,
229,2.29,-1.168332,-0.000361,-0.089197,,,,,,,,,,,,,,,,,,,
230,2.3,-1.168603,-0.000484,-0.089158,,,,,,,,,,,,,,,,,,,
